task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
tripadvisor/hotels/australia_comfort_inn/001,"{""_target_"": ""navi_bench.tripadvisor.tripadvisor_info_gathering.generate_task_config_deterministic"", ""url"": ""https://www.tripadvisor.com"", ""task"": ""Find Comfort Inn hotels in Australia for a group of 3 guests requiring 2 rooms for {checkIn} to {checkOut}. Must-have filters: Pets Allowed and Budget."", ""mode"": ""any"", ""queries"": [[{""brand"": [""Comfort Inn""], ""cities"": [""Australia"", ""Sydney""], ""guests"": 3, ""rooms"": 2, ""check_in"": ""{checkIn}"", ""check_out"": ""{checkOut}"", ""amenities"": [""Pets Allowed""], ""styles"": [""Budget""]}]], ""location"": ""Sydney, NSW, Australia"", ""timezone"": ""Australia/Sydney"", ""values"": {""checkIn"": ""April 15, 2026"", ""checkOut"": ""April 23, 2026""}, ""timestamp"": null}",real,tripadvisor,travel,hotels,hard,Ensure you adjust the guest and room count in the occupancy selector before filtering by brand.,40,validation,null
tripadvisor/hotels/india_oyo_lodges/001,"{""_target_"": ""navi_bench.tripadvisor.tripadvisor_info_gathering.generate_task_config_deterministic"", ""url"": ""https://www.tripadvisor.com"", ""task"": ""Find 5-star properties in India for 2 guests (1 room). Check-in: {checkIn}. Check-out: {checkOut}. Preferred Brand: OYO."", ""mode"": ""any"", ""queries"": [[{""brand"": [""OYO""], ""cities"": [""India""], ""guests"": 2, ""rooms"": 1, ""check_in"": ""{checkIn}"", ""check_out"": ""{checkOut}"", ""min_stars"": 5}]], ""location"": ""New Delhi, Delhi, India"", ""timezone"": ""Asia/Kolkata"", ""values"": {""checkIn"": ""April 25, 2026"", ""checkOut"": ""April 26, 2026""}, ""timestamp"": null}",real,tripadvisor,travel,hotels,hard,"Set the stay for exactly 2 guests in 1 room, then use Hotel class and Brand filters to narrow to 5-star OYO properties in India.",40,validation,null
tripadvisor/hotels/dubai_jumeirah_luxury/001,"{""_target_"": ""navi_bench.tripadvisor.tripadvisor_info_gathering.generate_task_config_deterministic"", ""url"": ""https://www.tripadvisor.com"", ""task"": ""Find Jumeirah hotels in Dubai for 2 guests and 1 room from {checkIn} to {checkOut}. Apply the Luxury style filter."", ""mode"": ""any"", ""queries"": [[{""brand"": [""Jumeirah""], ""cities"": [""Dubai""], ""guests"": 2, ""rooms"": 1, ""check_in"": ""{checkIn}"", ""check_out"": ""{checkOut}"", ""styles"": [""Luxury""]}]], ""location"": ""Dubai, United Arab Emirates"", ""timezone"": ""Asia/Dubai"", ""values"": {""checkIn"": ""May 6, 2026"", ""checkOut"": ""May 8, 2026""}, ""timestamp"": null}",real,tripadvisor,travel,hotels,medium,"Set the dates and occupancy first, then narrow with the Brand and Style filters.",35,validation,null
tripadvisor/hotels/london_bbhotels_wifi/001,"{""_target_"": ""navi_bench.tripadvisor.tripadvisor_info_gathering.generate_task_config_deterministic"", ""url"": ""https://www.tripadvisor.com"", ""task"": ""Find B&B Hotels properties in London for 1 guest and 1 room from {checkIn} to {checkOut}. Require Free Wifi."", ""mode"": ""any"", ""queries"": [[{""brand"": [""B&B Hotels""], ""cities"": [""London""], ""guests"": 1, ""rooms"": 1, ""check_in"": ""{checkIn}"", ""check_out"": ""{checkOut}"", ""amenities"": [""Free Wifi""]}]], ""location"": ""London, England, United Kingdom"", ""timezone"": ""Europe/London"", ""values"": {""checkIn"": ""June 10, 2026"", ""checkOut"": ""June 12, 2026""}, ""timestamp"": null}",real,tripadvisor,travel,hotels,medium,Use the Brand and Amenities filters after setting the stay details.,35,validation,null
tripadvisor/hotels/paris_millennium_breakfast/001,"{""_target_"": ""navi_bench.tripadvisor.tripadvisor_info_gathering.generate_task_config_deterministic"", ""url"": ""https://www.tripadvisor.com"", ""task"": ""Find Millennium hotels in Paris for 2 guests and 1 room from {checkIn} to {checkOut}. Require Breakfast included."", ""mode"": ""any"", ""queries"": [[{""brand"": [""Millennium""], ""cities"": [""Paris""], ""guests"": 2, ""rooms"": 1, ""check_in"": ""{checkIn}"", ""check_out"": ""{checkOut}"", ""amenities"": [""Breakfast included""]}]], ""location"": ""Paris, Ile-de-France, France"", ""timezone"": ""Europe/Paris"", ""values"": {""checkIn"": ""July 3, 2026"", ""checkOut"": ""July 5, 2026""}, ""timestamp"": null}",real,tripadvisor,travel,hotels,medium,"After setting guests and dates, apply Brand and Amenities filters.",35,validation,null
tripadvisor/hotels/rome_oyo_midrange/001,"{""_target_"": ""navi_bench.tripadvisor.tripadvisor_info_gathering.generate_task_config_deterministic"", ""url"": ""https://www.tripadvisor.com"", ""task"": ""Find OYO hotels in Rome for 2 guests and 1 room from {checkIn} to {checkOut}. Apply the Mid-range style filter."", ""mode"": ""any"", ""queries"": [[{""brand"": [""OYO""], ""cities"": [""Rome""], ""guests"": 2, ""rooms"": 1, ""check_in"": ""{checkIn}"", ""check_out"": ""{checkOut}"", ""styles"": [""Mid-range""]}]], ""location"": ""Rome, Lazio, Italy"", ""timezone"": ""Europe/Rome"", ""values"": {""checkIn"": ""August 14, 2026"", ""checkOut"": ""August 16, 2026""}, ""timestamp"": null}",real,tripadvisor,travel,hotels,medium,Use Brand and Style filters after landing on hotel results.,35,validation,null
tripadvisor/hotels/newyork_5star_oyo/001,"{""_target_"": ""navi_bench.tripadvisor.tripadvisor_info_gathering.generate_task_config_deterministic"", ""url"": ""https://www.tripadvisor.com"", ""task"": ""Find 5-star OYO properties in New York City for 2 guests and 1 room from {checkIn} to {checkOut}."", ""mode"": ""any"", ""queries"": [[{""brand"": [""OYO""], ""cities"": [""New York City"", ""New York""], ""guests"": 2, ""rooms"": 1, ""check_in"": ""{checkIn}"", ""check_out"": ""{checkOut}"", ""min_stars"": 5}]], ""location"": ""New York City, New York, United States"", ""timezone"": ""America/New_York"", ""values"": {""checkIn"": ""September 9, 2026"", ""checkOut"": ""September 11, 2026""}, ""timestamp"": null}",real,tripadvisor,travel,hotels,hard,Apply Hotel class and Brand filters after setting the trip details.,40,validation,null
tripadvisor/hotels/singapore_4bubbles_wifi/001,"{""_target_"": ""navi_bench.tripadvisor.tripadvisor_info_gathering.generate_task_config_deterministic"", ""url"": ""https://www.tripadvisor.com"", ""task"": ""Find hotels in Singapore for 2 guests and 1 room from {checkIn} to {checkOut}. Require Free Wifi and 4+ Bubbles."", ""mode"": ""any"", ""queries"": [[{""cities"": [""Singapore""], ""guests"": 2, ""rooms"": 1, ""check_in"": ""{checkIn}"", ""check_out"": ""{checkOut}"", ""amenities"": [""Free Wifi""], ""required_filters"": [""4+ Bubbles""]}]], ""location"": ""Singapore"", ""timezone"": ""Asia/Singapore"", ""values"": {""checkIn"": ""October 2, 2026"", ""checkOut"": ""October 4, 2026""}, ""timestamp"": null}",real,tripadvisor,travel,hotels,medium,"Set dates and occupancy, then add the Wifi amenity and 4+ Bubbles filters.",35,validation,null
tripadvisor/hotels/tokyo_hotels_4star/001,"{""_target_"": ""navi_bench.tripadvisor.tripadvisor_info_gathering.generate_task_config_deterministic"", ""url"": ""https://www.tripadvisor.com"", ""task"": ""Find hotel results in Tokyo for 2 guests and 1 room from {checkIn} to {checkOut}. Keep the Property type on Hotels and the Hotel class at 4 Star."", ""mode"": ""any"", ""queries"": [[{""cities"": [""Tokyo""], ""guests"": 2, ""rooms"": 1, ""check_in"": ""{checkIn}"", ""check_out"": ""{checkOut}"", ""propertyTypes"": [""Hotels""], ""required_filters"": [""4 Star""]}]], ""location"": ""Tokyo, Japan"", ""timezone"": ""Asia/Tokyo"", ""values"": {""checkIn"": ""November 18, 2026"", ""checkOut"": ""November 20, 2026""}, ""timestamp"": null}",real,tripadvisor,travel,hotels,medium,Use Property type and Hotel class filters after the date and guest settings are correct.,35,validation,null
tripadvisor/hotels/mumbai_bestofthebest_luxury/001,"{""_target_"": ""navi_bench.tripadvisor.tripadvisor_info_gathering.generate_task_config_deterministic"", ""url"": ""https://www.tripadvisor.com"", ""task"": ""Find luxury hotels in Mumbai for 2 guests and 1 room from {checkIn} to {checkOut}. Require Travelers' Choice Best of the Best."", ""mode"": ""any"", ""queries"": [[{""cities"": [""Mumbai""], ""guests"": 2, ""rooms"": 1, ""check_in"": ""{checkIn}"", ""check_out"": ""{checkOut}"", ""styles"": [""Luxury""], ""required_filters"": [""Best of the Best""]}]], ""location"": ""Mumbai, Maharashtra, India"", ""timezone"": ""Asia/Kolkata"", ""values"": {""checkIn"": ""December 5, 2026"", ""checkOut"": ""December 7, 2026""}, ""timestamp"": null}",real,tripadvisor,travel,hotels,hard,Apply Style and Awards filters after dates and occupancy are set.,40,validation,null
