task_id,task_generation_config,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata
hotels_com/search/0,"{""_target_"": ""navi_bench.hotels_com.hotels_com_url_match.generate_task_config"", ""url"": ""https://www.hotels.com/"", ""task"": ""Find me a hotel in Dubai for 2 adults. One room. Checkin {checkinDate} and check-out {checkoutDate}."", ""gt_url"": [""https://www.hotels.com/Hotel-Search?destination=Dubai&startDate={checkinDate}&endDate={checkoutDate}&adults=2&rooms=1""], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""checkinDate"": ""{now() + timedelta(28)}"", ""checkoutDate"": ""{now() + timedelta(32)}""}, ""timestamp"": null}",real,hotels_com,travel,hotel_search,easy,Anniversary mention is a red herring. Just a basic search.,30,train,null
hotels_com/search/1,"{""_target_"": ""navi_bench.hotels_com.hotels_com_url_match.generate_task_config"", ""url"": ""https://www.hotels.com/"", ""task"": ""I need a place to stay in Barcelona. Arriving {checkinDate}, departing {checkoutDate}. 2 adults, 1 room."", ""gt_url"": [""https://www.hotels.com/Hotel-Search?destination=Barcelona&startDate={checkinDate}&endDate={checkoutDate}&adults=2&rooms=1""], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""checkinDate"": ""{now() + timedelta(15)}"", ""checkoutDate"": ""{now() + timedelta(19)}""}, ""timestamp"": null}",real,hotels_com,travel,hotel_search,easy,Simple Barcelona search. Departing means check-out.,30,train,null
hotels_com/filter_combo/0,"{""_target_"": ""navi_bench.hotels_com.hotels_com_url_match.generate_task_config"", ""url"": ""https://www.hotels.com/"", ""task"": ""Find 4-star and 5-star hotels in New York with 1 room for 2 adults that has wifi included and a pool for check-in {checkinDate} to check-out {checkoutDate}"", ""gt_url"": [""https://www.hotels.com/Hotel-Search?destination=New%20York&startDate={checkinDate}&endDate={checkoutDate}&adults=2&rooms=1&star=40&star=50&amenities=POOL&amenities=WIFI""], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""checkinDate"": ""{now() + timedelta(14)}"", ""checkoutDate"": ""{now() + timedelta(18)}""}, ""timestamp"": null}",real,hotels_com,travel,hotel_search,medium,Must apply star rating filter. Luxury = 4 and 5 star.,35,validation,null
hotels_com/filter_combo/1,"{""_target_"": ""navi_bench.hotels_com.hotels_com_url_match.generate_task_config"", ""url"": ""https://www.hotels.com/"", ""task"": ""Search for hotels in London which should be pet friendly and have wifi included. 2 adults, 1 room. {checkinDate} to {checkoutDate}."", ""gt_url"": [""https://www.hotels.com/Hotel-Search?destination=London%2C%20England%2C%20United%20Kingdom&startDate={checkinDate}&endDate={checkoutDate}&adults=2&rooms=1&amenities=PETS&amenities=WIFI""], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""checkinDate"": ""{now() + timedelta(21)}"", ""checkoutDate"": ""{now() + timedelta(25)}""}, ""timestamp"": null}",real,hotels_com,travel,hotel_search,medium,Must apply amenities filter as mentioned.,35,validation,null
hotels_com/guest_math/0,"{""_target_"": ""navi_bench.hotels_com.hotels_com_url_match.generate_task_config"", ""url"": ""https://www.hotels.com/"", ""task"": ""We're a family of four, 2 adults and two children with age 5 and 10, looking for 1 room in Orlando from {checkinDate} to {checkoutDate}. Please show hotels that have a Spa, Washer and dryer, and a Hot tub."", ""gt_url"": [""https://www.hotels.com/Hotel-Search?destination=Orlando&startDate={checkinDate}&endDate={checkoutDate}&adults=2&rooms=1&children=1_5,1_10&amenities=SPA_ON_SITE&amenities=WASHER_DRYER&amenities=HOT_TUB""], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""checkinDate"": ""{now() + timedelta(21)}"", ""checkoutDate"": ""{now() + timedelta(28)}""}, ""timestamp"": null}",real,hotels_com,travel,hotel_search,hard,Must encode children with RoomIdx_Age format: children=1_5 and 1_10.,40,validation,null
hotels_com/guest_math/1,"{""_target_"": ""navi_bench.hotels_com.hotels_com_url_match.generate_task_config"", ""url"": ""https://www.hotels.com/"", ""task"": ""Me, my husband, and our three kids (ages 3, 7, and 12) need 1 room in Cancun from {checkinDate} to {checkoutDate}. We're looking for a hotel with a very good guest rating and we'd like the room to include WiFi, a coffee/tea maker, and a balcony."", ""gt_url"": [""https://www.hotels.com/Hotel-Search?destination=Cancun&startDate={checkinDate}&endDate={checkoutDate}&adults=2&rooms=1&children=1_3,1_7,1_12&room_amenities_group=ra_balcony_patio&room_amenities_group=ra_wifi&room_amenities_group=ra_coffee_tea_maker&guestRating=40""], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""checkinDate"": ""{now() + timedelta(28)}"", ""checkoutDate"": ""{now() + timedelta(35)}""}, ""timestamp"": null}",real,hotels_com,travel,hotel_search,hard,Three children with RoomIdx_Age format. Must encode all three ages correctly.,40,validation,null
hotels_com/multi_room/0,"{""_target_"": ""navi_bench.hotels_com.hotels_com_url_match.generate_task_config"", ""url"": ""https://www.hotels.com/"", ""task"": ""We need 3 rooms for 6 adults, 2 in each room occupancy as 2 adults per room in Las Vegas from {checkinDate} to {checkoutDate}. Show properties with wonderful guest rating, pay with hotels gift card, pet friendly, wifi included and a spa availability."", ""gt_url"": [""https://www.hotels.com/Hotel-Search?destination=Las%20Vegas&startDate={checkinDate}&endDate={checkoutDate}&adults=2%2C2%2C2&rooms=3&guestRating=45&paymentType=GIFT_CARD&amenities=PETS&amenities=SPA_ON_SITE&amenities=WIFI""], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""checkinDate"": ""{now() + timedelta(14)}"", ""checkoutDate"": ""{now() + timedelta(17)}""}, ""timestamp"": null}",real,hotels_com,travel,hotel_search,medium,Multi-room basic search. 6 adults in 3 rooms.,35,validation,null
hotels_com/multi_room/1,"{""_target_"": ""navi_bench.hotels_com.hotels_com_url_match.generate_task_config"", ""url"": ""https://www.hotels.com/"", ""task"": ""I'm attending a design conference in Lisbon and need 2 rooms for 4 adults (Occupancy: 2 adults per room) from {checkinDate} to {checkoutDate}. Show 4-star and 5-star hotels with very good guest rating. I'd like the rooms to have a city view and a balcony or patio."", ""gt_url"": [""https://www.hotels.com/Hotel-Search?destination=Lisbon&startDate={checkinDate}&endDate={checkoutDate}&adults=2%2C2&rooms=2&star=40&star=50&room_amenities_group=ra_balcony_patio&room_views_group=city_room_view&guestRating=40""], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""checkinDate"": ""{now() + timedelta(21)}"", ""checkoutDate"": ""{now() + timedelta(26)}""}, ""timestamp"": null}",real,hotels_com,travel,hotel_search,hard,Multi-room with star filter. Must apply both rooms=2 and star rating filter.,40,validation,null
hotels_com/car_rental/0,"{""_target_"": ""navi_bench.hotels_com.hotels_com_url_match.generate_car_task_config"", ""url"": ""https://www.hotels.com/carsearch"", ""task"": ""I need a minivan rental at JFK Airport in New York. Pick up the vehicle on {pickupDate} at 10:30 AM and return it on {dropoffDate} at 1:30 PM. Please show options that offer a 70% traveler rating score and have free cancellation option."", ""gt_url"": [""https://www.hotels.com/carsearch?locn=New%20York&pickupIATACode=JFK&d1={pickupDate}&d2={dropoffDate}&time1=1030AM&time2=0130PM&selCC=%5B%22minivan%22%5D&selPageIndex=0&selCan=%5B%22FREE_CANCELLATION%22%5D&selTRtr=%5B%22PERCENT_70%22%5D""], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""pickupDate"": ""{now() + timedelta(14)}"", ""dropoffDate"": ""{now() + timedelta(17)}""}, ""timestamp"": null}",real,hotels_com,travel,car_rental,easy,Basic car rental at JFK. Straightforward with standard times.,30,train,null
hotels_com/car_rental/1,"{""_target_"": ""navi_bench.hotels_com.hotels_com_url_match.generate_car_task_config"", ""url"": ""https://www.hotels.com/carsearch"", ""task"": ""I need an SUV rental at LAX Airport in Los Angeles. Pick up the vehicle on {pickupDate} at 9:30 AM and return it on {dropoffDate} at 10:30 PM. Show vehicles that seat 2 to 5 passengers and offer the Pay Later payment option."", ""gt_url"": [""https://www.hotels.com/carsearch?locn=Los%20Angeles&pickupIATACode=LAX&d1={pickupDate}&d2={dropoffDate}&time1=0930AM&time2=1030PM&selCC=%5B%22suv%22%5D&selPageIndex=0&selCap=%5B%22TWO_TO_FIVE%22%5D&selPayment=%5B%22PAY_LATER%22%5D""], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""pickupDate"": ""{now() + timedelta(10)}"", ""dropoffDate"": ""{now() + timedelta(14)}""}, ""timestamp"": null}",real,hotels_com,travel,car_rental,easy,Basic car rental at LAX. Standard pick-up and drop-off.,30,train,null
