task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
ticketmaster/sports/lakers/no_resale/101,"{""_target_"": ""navi_bench.ticketmaster.ticketmaster_task_generation.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for a Los Angeles Lakers home game and find standard tickets only (filter out Verified Resale)."", ""queries"": [[{""event_names"": [""lakers""], ""exclude_resale"": true, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles""}",real,ticketmaster,marketplace,sports,null,null,null,validation,null
ticketmaster/theater/hamilton/budget/101,"{""_target_"": ""navi_bench.ticketmaster.ticketmaster_task_generation.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for Hamilton theater tickets priced under $350."", ""queries"": [[{""event_names"": [""hamilton""], ""event_categories"": [""theater"", ""arts""], ""max_price"": 350.0, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York""}",real,ticketmaster,marketplace,theater,null,null,null,validation,null
ticketmaster/comedy/jokoy_chappelle_soundcheck/101,"{""_target_"": ""navi_bench.ticketmaster.ticketmaster_task_generation.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the 'Soundcheck Series' comedy event featuring Jo Koy and hosted by Dave Chappelle scheduled for either July 24 or July 25, 2026."", ""queries"": [[{""event_names"": [""jo koy"", ""dave chappelle"", ""soundcheck series""], ""cities"": [""yellow springs""], ""dates"": [""2026-07-24"", ""2026-07-25""], ""require_available"": false}]], ""location"": ""United States"", ""timezone"": ""America/New_York""}",real,ticketmaster,marketplace,comedy,null,null,null,validation,null
ticketmaster/comedy/jo_koy_chappelle/yellow_springs/101,"{""_target_"": ""navi_bench.ticketmaster.ticketmaster_task_generation.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the 'Soundcheck Series' comedy event featuring Jo Koy and Dave Chappelle in Yellow Springs, OH. Navigate to the event page and check ticket availability."", ""queries"": [[{""event_names"": [""jo koy"", ""dave chappelle""], ""cities"": [""yellow springs""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York""}",real,ticketmaster,marketplace,comedy,null,null,null,validation,null
ticketmaster/festivals/bottlerock/saturday/101,"{""_target_"": ""navi_bench.ticketmaster.ticketmaster_task_generation.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the BottleRock Napa Valley festival. Find the event specifically for the Saturday, May 23, 2026 date."", ""queries"": [[{""event_names"": [""bottlerock napa valley""], ""dates"": [""2026-05-23""], ""cities"": [""napa""], ""require_available"": false}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles""}",real,ticketmaster,marketplace,festivals,null,null,null,validation,null
ticketmaster/concerts/backstreet_boys/standard_show/101,"{""_target_"": ""navi_bench.ticketmaster.ticketmaster_task_generation.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the Backstreet Boys 'Into The Millennium' concert at the Sphere in Las Vegas. Find tickets for the Friday, July 17, 2026 show. Make sure you are looking at the actual concert tickets, not the Suite Reservations."", ""queries"": [[{""event_names"": [""backstreet boys: into the millennium""], ""dates"": [""2026-07-17""], ""cities"": [""las vegas""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles""}",real,ticketmaster,marketplace,concerts,null,null,null,validation,null
ticketmaster/concerts/backstreet_boys/suite_reservation/101,"{""_target_"": ""navi_bench.ticketmaster.ticketmaster_task_generation.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the Backstreet Boys at the Sphere in Las Vegas. Navigate specifically to the 'Suite Reservation' event page for their opening night on July 16, 2026."", ""queries"": [[{""event_names"": [""suite reservation"", ""backstreet boys at sphere - suite reservation""], ""dates"": [""2026-07-16""], ""cities"": [""las vegas""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles""}",real,ticketmaster,marketplace,concerts,null,null,null,validation,null
ticketmaster/sports/wwe/raw_seattle/101,"{""_target_"": ""navi_bench.ticketmaster.ticketmaster_task_generation.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Find tickets for WWE Monday Night Raw in Seattle. Verify ticket availability for the show on March 9, 2026."", ""queries"": [[{""event_names"": [""monday night raw"", ""wwe""], ""dates"": [""2026-03-09""], ""cities"": [""seattle""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles""}",real,ticketmaster,marketplace,sports,null,null,null,validation,null
ticketmaster/sports/wwe/smackdown_pittsburgh_standard/101,"{""_target_"": ""navi_bench.ticketmaster.ticketmaster_task_generation.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the WWE Friday Night Smackdown event in Pittsburgh on March 27, 2026. Look for only the standard admission tickets."", ""queries"": [[{""event_names"": [""smackdown"", ""friday night smackdown""], ""dates"": [""2026-03-27""], ""cities"": [""pittsburgh""], ""exclude_resale"": true, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York""}",real,ticketmaster,marketplace,sports,null,null,null,validation,null
ticketmaster/family/monster_jam/discovery_dates/101,"{""_target_"": ""navi_bench.ticketmaster.ticketmaster_task_generation.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for Monster Jam on Ticketmaster and use the date filter to show events from March 15 to March 27, 2026."", ""queries"": [[{""event_names"": [""monster jam""], ""dates"": [""2026-03-15""], ""require_available"": false}]], ""location"": ""United States"", ""timezone"": ""America/New_York""}",real,ticketmaster,marketplace,family,null,null,null,validation,null
ticketmaster/family/monster_jam/grand_rapids_freestyle/101,"{""_target_"": ""navi_bench.ticketmaster.ticketmaster_task_generation.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for 'Monster Jam Freestyle Mania' in Grand Rapids."", ""queries"": [[{""event_names"": [""monster jam freestyle mania""], ""cities"": [""grand rapids""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Detroit""}",real,ticketmaster,marketplace,family,null,null,null,validation,null
ticketmaster/family/monster_jam/hartford_exact/101,"{""_target_"": ""navi_bench.ticketmaster.ticketmaster_task_generation.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Find tickets for the Monster Jam event in Hartford exactly on March 21, 2026."", ""queries"": [[{""event_names"": [""monster jam""], ""cities"": [""hartford""], ""dates"": [""2026-03-21""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York""}",real,ticketmaster,marketplace,family,null,null,null,validation,null
