task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
etsy/search/digital_format_travel_journal/0,"{""_target_"": ""navi_bench.etsy.etsy_url_match.generate_task_config"",""url"": ""https://www.etsy.com"",""task"": ""I’m getting ready for a trip and was browsing travel journals, but most of the nicer ones either take too long to ship or are way more than I’d like to spend for something like this. I’d honestly prefer something I can just download instantly and start using, especially if it’s one of those Etsy's Picks selections instead of random listings. Also, I don’t want the super cheap ones under $20—I’d rather see the Higher price range first in the range I provided"",""gt_url"": [""https://www.etsy.com/search?q=travel+journal&is_merch_library=true&instant_download=true&max=20&order=price_desc""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,etsy,marketplace,search,easy,null,null,validation,null
etsy/search/handmade_leather_wallets/1,"{""_target_"": ""navi_bench.etsy.etsy_url_match.generate_task_config"",""url"": ""https://www.etsy.com"",""task"": ""Looking for a handmade leather wallet that isn’t flashy—darker shades like black or grey would be ideal. I don’t want anything expensive, just something affordable under $50. Also, I hate when the price jumps because of delivery, so free shipping would be great. Since I’m based in the US, it should be able to reach me pretty quickly, ideally within 7 days. I’d rather browse newer listings instead of older ones."",""gt_url"": [""https://www.etsy.com/search?q=handmade+leather+wallets&max=50&free_shipping=true&delivery_days=7&ship_to=US&attr_1=1%2C5&order=date_desc""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,etsy,marketplace,search,hard,null,null,validation,null
etsy/search/wedding_template/2,"{""_target_"": ""navi_bench.etsy.etsy_url_match.generate_task_config"",""url"": ""https://www.etsy.com"",""task"": ""Looking for a wedding invitation template that’s simple and elegant, likely in soft neutral tones like White, Green, Beige, Brown and rose gold. Prefer something that avails digital download and can be edited. Budget is limited but flexible within a small range between $5-$20, and I’d rather browse starting from the lower-priced options. Also leaning toward star seller and Etsy.s Picks listings, and a vertical orientation for the occassion of wedding."",""gt_url"": [""https://www.etsy.com/search?q=wedding+invitation+template&min=5&max=20&instant_download=true&is_merch_library=true&is_star_seller=true&attr_3=32&attr_1=1217%2C1213%2C3%2C10%2C4&attr_479=3460&order=price_asc""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,etsy,marketplace,search,hard,null,null,validation,null
etsy/search/framed_macrame_living_room/3,"{""_target_"": ""navi_bench.etsy.etsy_url_match.generate_task_config"",""url"": ""https://www.etsy.com"",""task"": ""Trying to find a piece of macrame wall that adds texture and character to both the living area and the entryway. I’d prefer something that comes framed, fully ready rather than needing additional work. I’m not focused on low-cost options—more interested in better-quality pieces over $50, especially from star sellers that are highlighted or well-known. Avoiding extra delivery costs would be a plus. I usually start by looking at what others have rated the highest, and I think a design with horizontal orientation would fit best."",""gt_url"": [""https://www.etsy.com/search?q=macrame%20wall&attr_346=2341&is_star_seller=true&attr_349=2351%2C2353&min=50&free_shipping=true&order=highest_reviews&attr_479=3461""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,etsy,marketplace,search,hard,null,null,validation,null
etsy/search/gift_wrapped_scented_candles/4,"{""_target_"": ""navi_bench.etsy.etsy_url_match.generate_task_config"",""url"": ""https://www.etsy.com"",""task"": ""I’m looking for a nice scented candle as a gift, something that feels a bit premium rather than basic. I don’t mind spending a little more for it something above $30, especially if it looks elegant—maybe in shades like purple or with some rose gold accents. It would be great if it’s currently On Sale. Since it’s a gift, needs to be gift wrapped that would save me time, and I’ll need it to arrive fairly soon, ideally within 7 days. I also tend to trust star sellers who are known or highlighted as top picks."",""gt_url"": [""https://www.etsy.com/search?q=scented%20candles&is_discounted=true&is_star_seller=true&gift_wrap=true&delivery_days=7&min=30&attr_1=8%2C1217""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,etsy,marketplace,search,hard,null,null,validation,null
etsy/search/on_sale_wooden_toys/5,"{""_target_"": ""navi_bench.etsy.etsy_url_match.generate_task_config"",""url"": ""https://www.etsy.com"",""task"": ""Trying to find a good wooden toy without going overboard on price—just something affordable that is below $50 but still high quality. If there’s anything currently on Sale, I’d prefer that. Also, I don’t like when shipping costs get added later, so options with free delivery would be ideal. I usually rely on Etsy's picks listings, and I prefer browsing based on top reviews"",""gt_url"": [""https://www.etsy.com/search?q=wooden+toys&free_shipping=true&is_merch_library=true&is_discounted=true&max=50&order=highest_reviews""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,etsy,marketplace,search,medium,null,null,validation,null
etsy/search/newest_resin_lamp/6,"{""_target_"": ""navi_bench.etsy.etsy_url_match.generate_task_config"",""url"": ""https://www.etsy.com"",""task"": ""I checked a few local stores for resin lamps but didn’t find anything interesting, so now I’m looking online for something more artistic and unique. I don’t want to spend too much that is below $100, but I still want something that feels high quality. It would be great if it's On sale. I’d also rather not pay extra for delivery, so free delivery is ideal in my case. I usually prefer items from Star sellers that are highlighted or known, and I tend to start with the most recent options available."",""gt_url"": [""https://www.etsy.com/search?q=resin+lamp&max=100&free_shipping=true&is_discounted=true&is_star_seller=true&order=date_desc""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,etsy,marketplace,search,medium,null,null,validation,null
etsy/search/personalizable_rug/7,"{""_target_"": ""navi_bench.etsy.etsy_url_match.generate_task_config"",""url"": ""https://www.etsy.com"",""task"": ""Thinking of getting a rug for a narrow space, so something elongated runner type would work best. I’d love the option to personalize it a bit so it matches my decor. I’m okay spending more than $100 for something that feels high quality, so I’m not looking at the lower-end options. Also, since I’ll be ordering it to Japan, I’d rather like free delivery options"",""gt_url"": [""https://www.etsy.com/search?q=rugs&free_shipping=true&ship_to=JP&min=100&attr_353=2375&attr_344=2315""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,etsy,marketplace,search,medium,null,null,validation,null
etsy/search/wooden_cabinate_under_200/8,"{""_target_"": ""navi_bench.etsy.etsy_url_match.generate_task_config"",""url"": ""https://www.etsy.com"",""task"": ""Search for cabinets with material as wood under 200 USD that deliver to Germany."",""gt_url"": [""https://www.etsy.com/search?q=cabinet&ship_to=DE&attr_357=286&max=200""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,etsy,marketplace,search,medium,null,null,validation,null
etsy/search/on_sale_tote_bag/9,"{""_target_"": ""navi_bench.etsy.etsy_url_match.generate_task_config"",""url"": ""https://www.etsy.com"",""task"": ""Trying to pick a tote bag that looks refined and versatile—leaning toward leather material with neutral or slightly metallic tones like Beige, Brown and Bronze. I’m not going for the cheapest options, but I also have an upper limit, so something in between $50-$200 works. If it's On Sale, even better. I’ll need it fairly quickly, within about 7 days, and I tend to browse starting from the higher end of my range."",""gt_url"": [""https://www.etsy.com/search?q=tote+bag&is_discounted=true&min=50&max=200&delivery_days=7&attr_1=1213%2C3%2C1216&attr_357=161&order=price_desc""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,etsy,marketplace,search,medium,null,null,validation,null
