task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_split,suggested_difficulty,suggested_hint,suggested_max_steps,metadata_json
navi_bench/redfin/chicago_property_search/1,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Search for properties in chicago for rent priced between $800 to $1500 and must have air-conditioning, AT&T fiber connection, minimum two beds and minimum one bath."", ""location"": ""Chicago, IL, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/city/29470/IL/Chicago/rentals/filter/min-price=800,max-price=1.5k,min-beds=2,min-baths=1,air-conditioning,has-att-fiber""]]}",real,redfin,realestate,chicago_property_search,train,hard,null,null,null
navi_bench/redfin/miami_estate_search/1,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find waterfront homes for sale in Miami with at least 4 bedrooms and minimum 3 bathrooms and over 3000 square feet."", ""location"": ""Miami, FL, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/city/11458/FL/Miami/filter/min-beds=4,min-baths=3,min-sqft=3k-sqft,water-front""]]}",real,redfin,realestate,miami_estate_search,validation,hard,null,null,null
navi_bench/redfin/sf_condo_search/2,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Search for condos for sale in San Francisco with an elevator and air-conditioning under $1.5M."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.redfin.com/city/17151/CA/San-Francisco/filter/property-type=condo,max-price=1.5M,has-elevator,air-conditioning""]]}",real,redfin,realestate,sf_condo_search,validation,medium,null,null,null
navi_bench/redfin/austin_home_search/3,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find houses for sale in Austin under $500,000 with at least 3 bedrooms."", ""location"": ""Austin, TX, United States"", ""timezone"": ""America/Chicago"", ""gt_urls"": [[""https://www.redfin.com/city/30818/TX/Austin/filter/property-type=house,max-price=500k,min-beds=3""]]}",real,redfin,realestate,austin_home_search,train,easy,null,null,null
navi_bench/redfin/seattle_properties_search/0,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find condos or townhouses for sale in Seattle with scenic views, between 750 and 1200 square feet, and at least one story."", ""location"": ""Seattle, WA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.redfin.com/city/16163/WA/Seattle/filter/property-type=condo+townhouse,min-sqft=750-sqft,max-sqft=1.2k-sqft,has-view,min-stories=1"", ""https://www.redfin.com/city/16163/WA/Seattle/filter/property-type=townhouse,min-sqft=750-sqft,max-sqft=1.2k-sqft,has-view,min-stories=1"", ""https://www.redfin.com/city/16163/WA/Seattle/filter/property-type=condo,min-sqft=750-sqft,max-sqft=1.2k-sqft,has-view,min-stories=1""]]}",real,redfin,realestate,seattle_properties_search,validation,hard,null,null,null
navi_bench/redfin/seattle_property_search/7,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find condos or townhouses for sale in Seattle with scenic views, between 1500 and 2000 square feet, with at least two stories."", ""location"": ""Seattle, WA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.redfin.com/city/16163/WA/Seattle/filter/property-type=condo+townhouse,min-sqft=1.5k-sqft,max-sqft=2k-sqft,has-view,min-stories=2"", ""https://www.redfin.com/city/16163/WA/Seattle/filter/property-type=townhouse,min-sqft=1.5k-sqft,max-sqft=2k-sqft,has-view,min-stories=2"", ""https://www.redfin.com/city/16163/WA/Seattle/filter/property-type=condo,min-sqft=1.5k-sqft,max-sqft=2k-sqft,has-view,min-stories=2""]]}",real,redfin,realestate,seattle_property_search,train,hard,null,null,null
navi_bench/redfin/dallas_rental_search/3,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/rentals"", ""task"": ""Search for rental properties in Dallas priced under $900 with at least 1 bedroom and minimum 1 bathroom."", ""location"": ""Dallas, TX, United States"", ""timezone"": ""America/Chicago"", ""gt_urls"": [[""https://www.redfin.com/city/30794/TX/Dallas/rentals/filter/max-price=900,min-beds=1,min-baths=1""]]}",real,redfin,realestate,dallas_rental_search,train,easy,null,null,null
navi_bench/redfin/dallas_rental_search/4,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find house or apartment rentals in Dallas priced between $600 and $1,000 with 2 to 4 bedrooms."", ""location"": ""Dallas, TX, United States"", ""timezone"": ""America/Chicago"", ""gt_urls"": [[""https://www.redfin.com/city/30794/TX/Dallas/rentals/filter/property-type=house+multifamily,min-price=600,max-price=1k,min-beds=2,max-beds=4"", ""https://www.redfin.com/city/30794/TX/Dallas/rentals/filter/property-type=house,min-price=600,max-price=1k,min-beds=2,max-beds=4"", ""https://www.redfin.com/city/30794/TX/Dallas/rentals/filter/property-type=multifamily,min-price=600,max-price=1k,min-beds=2,max-beds=4""]]}",real,redfin,realestate,dallas_rental_search,train,medium,null,null,null
navi_bench/redfin/dallas_rental_search/5,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/rentals"", ""task"": ""Search for rental homes between 700 to 1500 square feet in Dallas that allow dogs and include air conditioning, AT&T fiber, a dishwasher, and parking."", ""location"": ""Dallas, TX, United States"", ""timezone"": ""America/Chicago"", ""gt_urls"": [[""https://www.redfin.com/city/30794/TX/Dallas/rentals/filter/min-sqft=700,max-sqft=1500,dogs-allowed,air-conditioning,has-att-fiber,has-dishwasher,has-parking""]]}",real,redfin,realestate,dallas_rental_search,train,hard,null,null,null
navi_bench/redfin/dallas_rental_search/6,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/rentals"", ""task"": ""Find Dallas rental properties with Great schools rating 4 or higher and that have elementry, middle and high schools nearby. The walk and transit scores should be at least 60."", ""location"": ""Dallas, TX, United States"", ""timezone"": ""America/Chicago"", ""gt_urls"": [[""https://www.redfin.com/city/30794/TX/Dallas/rentals/filter/school-rating=4,school-types=elementary+middle+high,walk-score=60,transit-score=60""]]}",real,redfin,realestate,dallas_rental_search,train,hard,null,null,null
