task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
navi_bench/redfin/property_search/1,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find condos for sale in Chicago, IL."", ""location"": ""Chicago, IL, United States"", ""timezone"": ""America/Chicago"", ""gt_urls"": [[""https://www.redfin.com/city/29470/IL/Chicago/filter/property-type=condo""]]}",real,redfin,realestate,sale_search,easy,null,null,train,null
navi_bench/redfin/property_search/2,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find townhouses for sale in Austin, TX."", ""location"": ""Austin, TX, United States"", ""timezone"": ""America/Chicago"", ""gt_urls"": [[""https://www.redfin.com/city/30818/TX/Austin/filter/property-type=townhouse""]]}",real,redfin,realestate,sale_search,easy,null,null,train,null
navi_bench/redfin/property_search/3,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find homes for sale with pools in Miami, FL."", ""location"": ""Miami, FL, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/city/11458/FL/Miami/filter/pool-type=private+community""]]}",real,redfin,realestate,sale_search,easy,null,null,validation,null
navi_bench/redfin/property_search/4,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find single-family houses for sale in Seattle, WA."", ""location"": ""Seattle, WA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.redfin.com/city/16163/WA/Seattle/filter/property-type=house""]]}",real,redfin,realestate,sale_search,easy,null,null,train,null
navi_bench/redfin/sale_search/5,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find homes for sale with a primary bedroom on main floor in Portland, OR."", ""location"": ""Portland, OR, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.redfin.com/city/30772/OR/Portland/filter/primary-bed-on-main""]]}",real,redfin,realestate,sale_search,easy,null,null,train,null
navi_bench/redfin/sale_search/6,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find 2+ bedroom condos for sale with RV parking in Seattle, WA."", ""location"": ""Seattle, WA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.redfin.com/city/16163/WA/Seattle/filter/property-type=condo,min-beds=2,rv-parking""]]}",real,redfin,realestate,sale_search,medium,null,null,train,null
navi_bench/redfin/sale_search/8,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find 3+ bedroom townhouses with 2+ bathrooms for sale in Denver, CO."", ""location"": ""Denver, CO, United States"", ""timezone"": ""America/Denver"", ""gt_urls"": [[""https://www.redfin.com/city/5155/CO/Denver/filter/property-type=townhouse,min-beds=3,min-baths=2""]]}",real,redfin,realestate,sale_search,medium,null,null,train,null
navi_bench/redfin/sale_search/9,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find condos for sale under $500K with a fireplace in Boston, MA."", ""location"": ""Boston, MA, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/city/1826/MA/Boston/filter/property-type=condo,max-price=500k,fireplace""]]}",real,redfin,realestate,sale_search,medium,null,null,train,null
navi_bench/redfin/sale_search/10,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find 4+ bedroom houses with a view for sale in Phoenix, AZ."", ""location"": ""Phoenix, AZ, United States"", ""timezone"": ""America/Phoenix"", ""gt_urls"": [[""https://www.redfin.com/city/14240/AZ/Phoenix/filter/property-type=house,min-beds=4,has-view""]]}",real,redfin,realestate,sale_search,medium,null,null,train,null
navi_bench/redfin/sale_search/11,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find fixer-upper co-ops for sale in California, MD with elevator."", ""location"": ""California, MD, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/city/21853/MD/California/filter/property-type=co-op,has-elevator,is-fixer""]]}",real,redfin,realestate,sale_search,hard,null,null,train,null
navi_bench/redfin/sale_search/12,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find condos for sale in San Francisco with 3+ beds, 2+ baths, and nice views between $800K and $1.5M."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.redfin.com/city/17151/CA/San-Francisco/filter/property-type=condo,min-price=800k,max-price=1.5M,min-beds=3,min-baths=2,has-view""]]}",real,redfin,realestate,sale_search,hard,null,null,train,null
navi_bench/redfin/sale_search/13,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find waterfront homes for sale in Miami with 4+ beds, 3+ baths, private or community pool, and at least 3000 sqft."", ""location"": ""Miami, FL, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/city/11458/FL/Miami/filter/min-beds=4,min-baths=3,min-sqft=3k-sqft,water-front,pool-type=private+community""]]}",real,redfin,realestate,sale_search,hard,null,null,train,null
navi_bench/redfin/sale_search/14,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find active sale listings for houses in Allegheny County, PA under $375K listed within the last month with 3+ stories, lot size up to 4,500 sqft, fixer-upper condition, virtual tour available and sorted by lowest price."", ""location"": ""Allegheny County, PA, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/county/2362/PA/Allegheny-County/filter/sort=lo-price,property-type=house,max-price=375k,max-days-on-market=1mo,max-lot-size=4.5k-sqft,is-fixer,status=active,min-stories=3,has-virtual-tour""]]}",real,redfin,realestate,sale_search,hard,null,null,train,null
navi_bench/redfin/sale_search/15,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find homes for sale in Butler, PA under $200K with price per sqft under $400, elementary school rating of 3+, including active, coming soon and contract / pending listings."", ""location"": ""Butler, PA, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/city/2695/PA/Butler/filter/max-price=200k,max-price-per-sqft=400-sqft,school-rating=3,school-types=elementary,status=active+comingsoon+contingent+pending""]]}",real,redfin,realestate,sale_search,hard,null,null,train,null
navi_bench/redfin/sale_search/16,"{""_target_"": ""navi_bench.redfin.redfin_url_match.generate_task_config"", ""url"": ""https://www.redfin.com/"", ""task"": ""Find homes for sale in Oak Hills, PA with spa in the listing description, monthly payment up to $4,000 and a customised plan with 6.5% interest rate, 0.43% insurance rate, 20% down payment, excluding short sales."", ""location"": ""Oak Hills, PA, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.redfin.com/city/24903/PA/Oak-Hills/filter/remarks=spa,exclude-short-sale,max-monthly-payment=4k,interest-rate=6.5,insurance-rate=0.43,mortgage-down-payment-percent=20""]]}",real,redfin,realestate,sale_search,hard,null,null,train,null
