task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
momondo/flights/bom_hnl_alaska/101,"{""_target_"": ""navi_bench.momondo.momondo_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.momondo.com/"", ""task"": ""Are there any flights from Mumbai (BOM) to Honolulu (HNL) on {dateRange} that include Alaska Airlines in the itinerary? The budget is $4100."", ""queries"": [[{""origins"": [""bom""], ""destinations"": [""hnl""], ""airlines"": [""alaska""], ""max_price"": 4100.0}]], ""location"": ""New York, NY, United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""next Friday""}}",real,momondo,travel,flights,hard,null,null,validation,null
momondo/flights/bom_hnl_1stop/101,"{""_target_"": ""navi_bench.momondo.momondo_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.momondo.com/"", ""task"": ""Search for a flight from Mumbai (BOM) to Honolulu (HNL) on {dateRange}. I need an option with a maximum of 1 stop priced under $3000."", ""queries"": [[{""origins"": [""bom""], ""destinations"": [""hnl""], ""max_stops"": 1, ""max_price"": 3000.0}]], ""location"": ""New York, NY, United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""next Friday""}}",real,momondo,travel,flights,medium,null,null,validation,null
momondo/flights/dmk_dad_thai_airasia_condition/101,"{""_target_"": ""navi_bench.momondo.momondo_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.momondo.com/"", ""task"": ""Are there any direct flights for 1 adult from Bangkok (DMK) to Da Nang (DAD) on {dateRange} operated by Thai Airasia under $150? If flight options are found, respond with: 'Yes, there is at least one option' followed by the price. If no options are found, respond with exactly: 'No options found'."", ""queries"": [[{""origins"": [""dmk""], ""destinations"": [""dad""], ""airlines"": [""thai airasia""], ""require_direct"": true, ""max_price"": 150.0}]], ""location"": ""New York, NY, United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""next Saturday""}}",real,momondo,travel,flights,medium,null,null,validation,null
momondo/flights/dmk_dad_airasia_summary/101,"{""_target_"": ""navi_bench.momondo.momondo_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.momondo.com/"", ""task"": ""Please summarise all direct flights operated by Airasia from Bangkok (DMK) to Da Nang (DAD) on {dateRange}. List the departure times and prices."", ""queries"": [[{""origins"": [""dmk""], ""destinations"": [""dad""], ""airlines"": [""airasia""], ""require_direct"": true}]], ""location"": ""New York, NY, United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""next Saturday""}}",real,momondo,travel,flights,medium,null,null,validation,null
momondo/flights/dmk_dad_batik_air_condition/101,"{""_target_"": ""navi_bench.momondo.momondo_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.momondo.com/"", ""task"": ""Are there any flights involving Batik Air from Bangkok (DMK) to Da Nang (DAD) on {dateRange}? If options are found, respond with: 'Yes, found Batik Air' and the price. If not, respond with exactly: 'No options found'."", ""queries"": [[{""origins"": [""dmk""], ""destinations"": [""dad""], ""airlines"": [""batik air""]}]], ""location"": ""New York, NY, United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""next Friday""}}",real,momondo,travel,flights,medium,null,null,validation,null
momondo/flights/dmk_dad_busi_thai_lion/101,"{""_target_"": ""navi_bench.momondo.momondo_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.momondo.com/"", ""task"": ""I am looking for a Business class flight from Bangkok (DMK) to Da Nang (DAD) on {dateRange} operated by Thai Lion Air. If available, respond with 'Yes, there is at least one option' and the price. Otherwise, say 'No options found'."", ""queries"": [[{""origins"": [""dmk""], ""destinations"": [""dad""], ""cabin_classes"": [""business""], ""airlines"": [""thai lion air""]}]], ""location"": ""New York, NY, United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""next Friday""}}",real,momondo,travel,flights,hard,null,null,validation,null
momondo/flights/dmk_dad_busi_budget_condition/101,"{""_target_"": ""navi_bench.momondo.momondo_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.momondo.com/"", ""task"": ""Are there any Business class flights for 1 adult from Bangkok (DMK) to Da Nang (DAD) on {dateRange} priced under $800? If flight options are found, respond with: 'Yes, there is at least one option' followed by the airlines. If no options are found, respond with exactly: 'No options found'."", ""queries"": [[{""origins"": [""dmk""], ""destinations"": [""dad""], ""cabin_classes"": [""business""], ""max_price"": 800.0}]], ""location"": ""New York, NY, United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""next Wednesday""}}",real,momondo,travel,flights,hard,null,null,validation,null
momondo/flights/del_cph_direct_airindia/101,"{""_target_"": ""navi_bench.momondo.momondo_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.momondo.com/"", ""task"": ""Can you check if there are any direct flights from New Delhi (DEL) to Copenhagen (CPH) for 1 adult on {dateRange}? I have a budget of $1800. Give me the airline and price."", ""queries"": [[{""origins"": [""del""], ""destinations"": [""cph""], ""require_direct"": true, ""max_price"": 1800.0}]], ""location"": ""New York, NY, United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""next Tuesday""}}",real,momondo,travel,flights,easy,null,null,validation,null
momondo/hotels/cph_top2_rating/101,"{""_target_"": ""navi_bench.momondo.momondo_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.momondo.com/"", ""task"": ""Find any hotels in Copenhagen for my stay on {dateRange} that have a rating of 8.0 or higher and are priced under $300. Summarise the top 2 options you find."", ""queries"": [[{""cities"": [""copenhagen""], ""min_score"": 8.0, ""max_price"": 300.0}]], ""location"": ""New York, NY, United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""next Monday""}}",real,momondo,travel,hotels,medium,null,null,validation,null
momondo/cars/lga_dodge_durango/101,"{""_target_"": ""navi_bench.momondo.momondo_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.momondo.com/"", ""task"": ""Search for a Dodge Durango rental at LaGuardia (LGA) on {dateRange}. What is the price?"", ""queries"": [[{""pickup_locations"": [""lga""], ""car_types"": [""dodge durango""]}]], ""location"": ""New York, NY, United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""next Monday""}}",real,momondo,travel,cars,easy,null,null,validation,null
