task_id,task_generation_config_json,env,domain,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
navi_bench/recreation/filters/0,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for pet-friendly tent camping near Yosemite Valley, California. Apply the camping inventory type, tent campsite type, and pet friendly key characteristic filters."", ""location"": ""California, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_url"": ""https://www.recreation.gov/search?q=Yosemite%20Valley%2C%20California&inventory_type=camping&campsite_type=tent&key_characteristics=pet%20friendly""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/1,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for camping in California. Apply the waterfront amenity, pet friendly key characteristic, and distance sort filters."", ""location"": ""California, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_url"": ""https://www.recreation.gov/search?q=California&inventory_type=camping&amenities=waterfront&key_characteristics=pet%20friendly&sort=distance""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/2,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for day use options in Florida. Apply the shade amenity, accessibility key characteristic, and best match sort filters."", ""location"": ""Florida, United States"", ""timezone"": ""America/New_York"", ""gt_url"": ""https://www.recreation.gov/search?q=Florida&inventory_type=day%20use&amenities=shade&key_characteristics=accessibility&sort=score""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/3,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for recreation areas in Texas. Apply the fire pit amenity, group site key characteristic, and rating sort filters."", ""location"": ""Texas, United States"", ""timezone"": ""America/Chicago"", ""gt_url"": ""https://www.recreation.gov/search?q=Texas&inventory_type=rec%20areas&amenities=fire%20pit&key_characteristics=group%20site&sort=average_rating""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/4,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for permits in Colorado. Apply the showers amenity, accessibility key characteristic, and price sort filters."", ""location"": ""Colorado, United States"", ""timezone"": ""America/Denver"", ""gt_url"": ""https://www.recreation.gov/search?q=Colorado&inventory_type=permits&amenities=showers&key_characteristics=accessibility&sort=price%20asc""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/5,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for tickets and tours in New York. Apply the waterfront amenity, pet friendly key characteristic, and mobile coverage sort filters."", ""location"": ""New York, United States"", ""timezone"": ""America/New_York"", ""gt_url"": ""https://www.recreation.gov/search?q=New%20York&inventory_type=tickets%20%26%20tours&amenities=waterfront&key_characteristics=pet%20friendly&sort=aggregate_cell_coverage""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/6,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for points of interest in Arizona. Apply the flush toilet amenity, accessibility key characteristic, and distance sort filters."", ""location"": ""Arizona, United States"", ""timezone"": ""America/Phoenix"", ""gt_url"": ""https://www.recreation.gov/search?q=Arizona&inventory_type=points%20%20of%20interest&amenities=flush%20toilet&key_characteristics=accessibility&sort=distance""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/7,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for venues in Nevada. Apply the shade amenity, group site key characteristic, and rating sort filters."", ""location"": ""Nevada, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_url"": ""https://www.recreation.gov/search?q=Nevada&inventory_type=venues&amenities=shade&key_characteristics=group%20site&sort=average_rating""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/8,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for camping in Washington. Apply the water hookup amenity, pet friendly key characteristic, and price sort filters."", ""location"": ""Washington, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_url"": ""https://www.recreation.gov/search?q=Washington&inventory_type=camping&amenities=water%20hookup&key_characteristics=pet%20friendly&sort=price%20asc""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/9,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for day use options in Utah. Apply the fire pit amenity, accessibility key characteristic, and best match sort filters."", ""location"": ""Utah, United States"", ""timezone"": ""America/Denver"", ""gt_url"": ""https://www.recreation.gov/search?q=Utah&inventory_type=day%20use&amenities=fire%20pit&key_characteristics=accessibility&sort=score""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/10,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for recreation areas in Oregon. Apply the waterfront amenity, group site key characteristic, and distance sort filters."", ""location"": ""Oregon, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_url"": ""https://www.recreation.gov/search?q=Oregon&inventory_type=rec%20areas&amenities=waterfront&key_characteristics=group%20site&sort=distance""}",real,recreation,medium,null,20,validation,null
