task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
goat/search/jordan_1/0,"{""_target_"":""navi_bench.goat.goat_url_match.generate_task_config"", ""url"":""https://www.goat.com/"", ""task"":""I've been looking to upgrade my performance on the basketball court and decided it's finally time to invest in a brand-new pair of Jordans. Search for jordan one and select gender as men. To ensure I can head straight to the gym, I'm only looking for pairs that are new and currently available now for immediate purchase."", ""gt_url"":[""https://www.goat.com/search?query=jordan+one&pageNumber=1&genders=men&conditions=new_no_defects&inStock=true""], ""location"":""United States"", ""timezone"":""America/Chicago"", ""timestamp"":null }",real,goat,e_commerce,search,hard,null,null,validation,null
goat/search/hoodies/1,"{""_target_"":""navi_bench.goat.goat_url_match.generate_task_config"", ""url"":""https://www.goat.com/"", ""task"":""Search for hoodies, select gender as men and filter for men's top in size M. I'm looking specifically for black colored one. To ensure I'm getting a piece that is highly regarded by the community at a great price point, only show me listings that are currently on sale."", ""gt_url"":[""https://www.goat.com/search?query=hoodies&pageNumber=1&genders=men&sizes=universal_tops_men_M&colors=black&sale=true"",""https://www.goat.com/apparel/tops/hoodies?pageSlug=apparel&taxonomies=tops%2Choodies&pageNumber=1&genders=men&sizes=universal_tops_men_M&colors=black&sale=true""], ""location"":""United States"", ""timezone"":""America/Chicago"", ""timestamp"": null, ""values"": {}}",real,goat,e_commerce,search,medium,null,null,validation,null
goat/search/back_packs/2,"{""_target_"":""navi_bench.goat.goat_url_match.generate_task_config"", ""url"":""https://www.goat.com/"", ""task"":""Browse for back packs and look for classic black color, select gender as men. Sort the results from lowest to highest price so I can easily compare the best-value high-performance backpacks."", ""gt_url"":[""https://www.goat.com/search?query=back+packs&pageNumber=1&genders=men&colors=black&sortType=price_low_high"",""https://www.goat.com/bags?pageNumber=1&categories=Bags&types=%2CBackpacks&genders=men&colors=black&sortType=price_low_high""], ""location"":""United States"", ""timezone"":""America/Chicago"", ""timestamp"":null }",real,goat,e_commerce,search,medium,null,null,validation,null
goat/search/t-shirts_women/3,"{""_target_"":""navi_bench.goat.goat_url_match.generate_task_config"", ""url"":""https://www.goat.com/"", ""task"":""Search for t-shirts and select gender as women make sure they are women's top in size S. I'm drawn to a soft but vibrant color palette with shades like white and red."", ""gt_url"":[""https://www.goat.com/apparel/tops/t-shirts?pageSlug=apparel&taxonomies=tops%2Ct-shirts&pageNumber=1&genders=women&sizes=universal_tops_women_S&colors=white%2Cred"", ""https://www.goat.com/search?query=t-shirts&pageNumber=1&genders=women&sizes=universal_tops_women_S&colors=white%2Cred""], ""location"":""United States"", ""timezone"":""America/Chicago"", ""timestamp"": null, ""values"": {}}",real,goat,e_commerce,search,medium,null,null,validation,null
goat/search/watches_men/4,"{""_target_"":""navi_bench.goat.goat_url_match.generate_task_config"", ""url"":""https://www.goat.com/"", ""task"":""Search for watches and narrow the results to Casio and G-SHOCK by casio models, since I really like that style. Select gender as men and look for watches that are currently in stock and are readily available now."", ""gt_url"":[""https://www.goat.com/jewelry?pageNumber=1&categories=Jewelry&types=%2CWatches&brands=Casio%2CG-SHOCK+by+Casio&genders=men&inStock=true"", ""https://www.goat.com/search?query=watches&pageNumber=1&genders=men&brands=Casio%2CG-SHOCK+by+Casio&inStock=true""], ""location"":""United States"", ""timezone"":""America/Chicago"", ""timestamp"": null, ""values"": {}}",real,goat,e_commerce,search,medium,null,null,validation,null
goat/search/sunglassses/5,"{""_target_"":""navi_bench.goat.goat_url_match.generate_task_config"", ""url"":""https://www.goat.com/"", ""task"": ""Search for sunglasses and select gender as men. I'd like to browse options from brands like Louis Vuitton, Oakley, and Ray-Ban. I'm leaning toward a palette with darker and metallic tones like black, silver, and gold so keep the selection focused around those colors. Sort the results by price from high to low so the most exclusive options show up first."",""gt_url"":[""https://www.goat.com/search?query=sunglasses&pageNumber=1&genders=men&brands=Louis+Vuitton%2COakley%2CRay-Ban&colors=black%2Csilver%2Cgold&sortType=price_high_low""], ""location"":""United States"", ""timezone"":""America/Chicago"", ""timestamp"":null}",real,goat,e_commerce,search,medium,null,null,validation,null
goat/search/youth_caps/6,"{""_target_"":""navi_bench.goat.goat_url_match.generate_task_config"", ""url"":""https://www.goat.com/"", ""task"":""Search for caps and narrow the results to youth sizes in the gender section so I'm only looking at options made for kids. I want fun multi-color designs, I'm also trying to stay within a reasonable budget, so sort the results from lowest price to highest so I can check the best-value options first."", ""gt_url"":[""https://www.goat.com/search?query=caps&pageNumber=1&genders=youth&sortType=price_low_high&colors=multi-color""], ""location"":""United States"", ""timezone"":""America/Chicago"", ""timestamp"": null, ""values"": {}}",real,goat,e_commerce,search,medium,null,null,validation,null
goat/search/low_top_sneakers/7,"{""_target_"":""navi_bench.goat.goat_url_match.generate_task_config"", ""url"":""https://www.goat.com/"", ""task"":""Search for low top sneakers select gender as women section and keep the focus on softer neutral shades like white and cream. I'd also like to stay within a reasonable budget, so sort the results from lowest price to highest so I can compare the best-value options first."", ""gt_url"":[""https://www.goat.com/search?query=low+top+sneakers&pageNumber=1&genders=women&colors=white%2Ccream&sortType=price_low_high""], ""location"":""United States"", ""timezone"":""America/Chicago"", ""timestamp"": null, ""values"": {}}",real,goat,e_commerce,search,medium,null,null,validation,null
goat/search/hoodies_men/8,"{""_target_"":""navi_bench.goat.goat_url_match.generate_task_config"", ""url"":""https://www.goat.com/"", ""task"":""Search for hoodies and select gender as men and top size as L. I'm mostly drawn to darker tones like black and red. Show me the results that are available now."", ""gt_url"":[""https://www.goat.com/search?query=hoodies&pageNumber=1&genders=men&sizes=universal_tops_men_L&colors=black%2Cred&inStock=true"",""https://www.goat.com/apparel/tops/hoodies?pageSlug=apparel&taxonomies=tops%2Choodies&pageNumber=1&genders=men&sizes=universal_tops_men_L&colors=black%2Cred&inStock=true""], ""location"":""United States"", ""timezone"":""America/Chicago"", ""timestamp"": null, ""values"": {}}",real,goat,e_commerce,search,medium,null,null,validation,null
goat/search/shorts_apparel/9,"{""_target_"":""navi_bench.goat.goat_url_match.generate_task_config"", ""url"":""https://www.goat.com/"", ""task"":""Search for shorts, select gender as men and narrow the results down to size M for men's bottom. I'd like to keep the color palette clean and wearable with shades like black and grey."", ""gt_url"":[""https://www.goat.com/search?query=shorts&pageNumber=1&sizes=universal_bottoms_men_M&genders=men&colors=grey%2Cblack"",""https://www.goat.com/apparel?pageNumber=1&categories=Apparel&types=%2CBottoms&activities=%2CShorts&genders=men&sizes=universal_bottoms_men_M&colors=black%2Cgrey""], ""location"":""United States"", ""timezone"":""America/Chicago"", ""timestamp"": null, ""values"": {}}",real,goat,e_commerce,search,medium,null,null,validation,null
